"Time","Sent- Upload","Received- Download"
2024-03-03 17:00:30,11415,-14627
2024-03-03 17:00:45,19295,-15662
2024-03-03 17:01:00,13564,-15457
2024-03-03 17:01:15,14229,-15878
2024-03-03 17:01:30,11778,-16251
2024-03-03 17:01:45,5533,-15283
2024-03-03 17:02:00,6477,-15923
2024-03-03 17:02:15,2713687,-1847731
2024-03-03 17:02:30,5384069,-3599461
2024-03-03 17:02:45,5383835,-3599515
2024-03-03 17:03:00,4488209,-2969069
2024-03-03 17:03:15,1769497,-1160070
2024-03-03 17:03:30,4837,-15020
2024-03-03 17:03:45,5679,-15441
2024-03-03 17:04:00,6380,-15833
2024-03-03 17:04:15,5346,-15207
2024-03-03 17:04:30,6175,-15693
2024-03-03 17:04:45,5342,-15286
2024-03-03 17:05:00,6208,-15786
2024-03-03 17:05:15,3564299,-2396635
2024-03-03 17:05:30,8475632,-5596082
2024-03-03 17:05:45,9829723,-6429607
2024-03-03 17:06:00,9513494,-6174022
2024-03-03 17:06:15,4662823,-2988948
2024-03-03 17:06:30,6688,-16361
2024-03-03 17:06:45,10577,-17753
2024-03-03 17:07:00,10282,-17198
2024-03-03 17:07:15,12410,-17502
2024-03-03 17:07:30,8680,-15398
2024-03-03 17:07:45,8722,-15344
2024-03-03 17:08:00,5666,-14329
2024-03-03 17:08:15,2461232,-1666919
2024-03-03 17:08:30,8841557,-5942613
2024-03-03 17:08:45,12668946,-8505798
2024-03-03 17:09:00,12668222,-8505329
2024-03-03 17:09:15,8084080,-5424006
2024-03-03 17:09:30,1714048,-1151818
2024-03-03 17:09:45,10271,-15850
2024-03-03 17:10:00,8750,-15323
2024-03-03 17:10:15,10307,-15880
2024-03-03 17:10:30,8781,-15385
2024-03-03 17:10:45,10285,-15885
2024-03-03 17:11:00,8772,-15433
2024-03-03 17:11:15,184134,-138293
2024-03-03 17:11:30,8284508,-5381193
2024-03-03 17:11:45,13313821,-10792854
2024-03-03 17:12:00,13310881,-10791222
2024-03-03 17:12:15,10431062,-8913786
2024-03-03 17:12:30,3219314,-3710012
2024-03-03 17:12:45,10223,-15802
2024-03-03 17:13:00,8723,-15276
2024-03-03 17:13:15,10180,-15724
2024-03-03 17:13:30,8742,-15246
2024-03-03 17:13:45,10288,-15737
2024-03-03 17:14:00,8865,-15295
2024-03-03 17:14:15,10419,-15718
2024-03-03 17:14:30,4471494,-3258389
2024-03-03 17:14:45,11009989,-7803027
2024-03-03 17:15:00,13009579,-9014471
2024-03-03 17:15:15,12602947,-8764519
2024-03-03 17:15:30,6986168,-4239411
2024-03-03 17:15:45,10287,-15846
2024-03-03 17:16:00,9002,-15524
2024-03-03 17:16:15,10486,-16008
2024-03-03 17:16:30,8944,-15527
2024-03-03 17:16:45,10434,-16059
2024-03-03 17:17:00,8798,-15358
2024-03-03 17:17:15,10336,-15767
2024-03-03 17:17:30,2062362,-1812204
2024-03-03 17:17:45,9352255,-7371370
2024-03-03 17:18:00,15566509,-11164193
2024-03-03 17:18:15,15568699,-11165118
2024-03-03 17:18:30,11762895,-7496340
2024-03-03 17:18:45,3258451,-1999258
2024-03-03 17:19:00,8721,-15309
2024-03-03 17:19:15,10192,-15869
2024-03-03 17:19:30,8665,-15319
2024-03-03 17:19:45,10349,-15825
2024-03-03 17:20:00,8863,-15276
2024-03-03 17:20:15,10366,-15730
2024-03-03 17:20:30,8817,-15296
2024-03-03 17:20:45,5967572,-6382513
2024-03-03 17:21:00,12161365,-13018768
2024-03-03 17:21:15,12469747,-13353625
2024-03-03 17:21:30,10558791,-11410393
2024-03-03 17:21:45,4493524,-4774279
2024-03-03 17:22:00,8876,-15935
2024-03-03 17:22:15,11883,-16907
2024-03-03 17:22:30,8961,-15831
2024-03-03 17:22:45,10535,-16188
2024-03-03 17:23:00,9346,-16695
2024-03-03 17:23:15,10677,-17055
2024-03-03 17:23:30,9054,-16587
2024-03-03 17:23:45,1283612,-4057273
2024-03-03 17:24:00,2925344,-10857882
2024-03-03 17:24:15,3651330,-13811391
2024-03-03 17:24:30,3649646,-13810447
2024-03-03 17:24:45,1835287,-7519469
2024-03-03 17:25:00,156680,-620301
2024-03-03 17:25:15,10339,-15826
2024-03-03 17:25:30,8857,-15323
2024-03-03 17:25:45,10397,-15726
2024-03-03 17:26:00,9227,-15517
2024-03-03 17:26:15,10750,-16002
2024-03-03 17:26:30,9252,-15578
2024-03-03 17:26:45,10748,-16022
2024-03-03 17:27:00,1428980,-5654525
2024-03-03 17:27:15,3296683,-13223433
2024-03-03 17:27:30,3779317,-15166112
2024-03-03 17:27:45,3581956,-14513259
2024-03-03 17:28:00,1721553,-6946429
2024-03-03 17:28:15,10634,-15917
2024-03-03 17:28:30,9032,-15383
2024-03-03 17:28:45,10474,-15918
2024-03-03 17:29:00,8845,-15454
2024-03-03 17:29:15,8792,-15433
2024-03-03 17:29:30,8734,-15396
2024-03-03 17:29:45,8732,-15296
2024-03-03 17:30:00,8706,-15300
2024-03-03 17:30:15,1397918,-5511651
2024-03-03 17:30:30,3594942,-14317816
2024-03-03 17:30:45,4462255,-17754613
2024-03-03 17:31:00,4463438,-17753700
2024-03-03 17:31:15,2365976,-9382295
2024-03-03 17:31:30,73769,-277552
2024-03-03 17:31:45,9816,-15769
2024-03-03 17:32:00,11556,-16384
2024-03-03 17:32:15,9039,-15348
2024-03-03 17:32:30,24477,-16716
2024-03-03 17:32:45,35979,-18061
2024-03-03 17:33:00,46217,-26590
2024-03-03 17:33:15,48697,-31570
2024-03-03 17:33:30,834621,-3300479
2024-03-03 17:33:45,3272576,-13333615
2024-03-03 17:34:00,4765034,-19520192
2024-03-03 17:34:15,4754404,-19510513
2024-03-03 17:34:30,3079079,-12681680
2024-03-03 17:34:45,687501,-2818551
2024-03-03 17:35:00,10378,-15728
2024-03-03 17:35:15,8744,-15272
2024-03-03 17:35:30,10307,-15776
2024-03-03 17:35:45,8852,-15258
2024-03-03 17:36:00,10524,-15885
2024-03-03 17:36:15,8993,-15406
2024-03-03 17:36:30,10356,-15812
2024-03-03 17:36:45,696221,-459425
2024-03-03 17:37:00,1404250,-916481
2024-03-03 17:37:15,1402842,-916125
2024-03-03 17:37:30,1191009,-778637
2024-03-03 17:37:45,477729,-318313
2024-03-03 17:38:00,10195,-15948
2024-03-03 17:38:15,8735,-15553
2024-03-03 17:38:30,10379,-16042
2024-03-03 17:38:45,8850,-15492
2024-03-03 17:39:00,10342,-15715
2024-03-03 17:39:15,8697,-15260
2024-03-03 17:39:30,10221,-15718
2024-03-03 17:39:45,851386,-559065
2024-03-03 17:40:00,2213940,-1442251
2024-03-03 17:40:15,2695579,-1755813
2024-03-03 17:40:30,2697633,-1756621
2024-03-03 17:40:45,1399133,-918584
2024-03-03 17:41:00,33157,-30742
2024-03-03 17:41:15,8792,-15269
2024-03-03 17:41:30,10342,-15750
2024-03-03 17:41:45,8838,-15182
2024-03-03 17:42:00,10363,-15670
2024-03-03 17:42:15,8684,-15203
2024-03-03 17:42:30,10228,-15673
2024-03-03 17:42:45,660724,-455536
2024-03-03 17:43:00,2963486,-2008039
2024-03-03 17:43:15,4575762,-3102004
2024-03-03 17:43:30,4577280,-3102483
2024-03-03 17:43:45,3155756,-2141759
2024-03-03 17:44:00,841787,-579430
2024-03-03 17:44:15,8958,-15259
2024-03-03 17:44:30,10397,-15731
2024-03-03 17:44:45,8883,-15335
2024-03-03 17:45:00,10211,-15788
2024-03-03 17:45:15,8759,-15369
2024-03-03 17:45:30,10383,-15869
2024-03-03 17:45:45,8869,-15359
2024-03-03 17:46:00,3369828,-2393273
2024-03-03 17:46:15,6306436,-4847965
2024-03-03 17:46:30,6427134,-4975945
2024-03-03 17:46:45,5482869,-4310679
2024-03-03 17:47:00,1844619,-1731601
2024-03-03 17:47:15,8821,-15256
2024-03-03 17:47:30,10273,-15721
2024-03-03 17:47:45,8667,-15191
2024-03-03 17:48:00,10217,-15673
2024-03-03 17:48:15,8674,-15198
2024-03-03 17:48:30,10203,-15643
2024-03-03 17:48:45,8661,-15271
2024-03-03 17:49:00,1675899,-1449173
2024-03-03 17:49:15,2771635,-4916832
2024-03-03 17:49:30,3231253,-6365008
2024-03-03 17:49:45,3229626,-6364232
2024-03-03 17:50:00,1196389,-3765148
2024-03-03 17:50:15,104879,-319082
2024-03-03 17:50:30,10208,-15788
2024-03-03 17:50:45,8687,-15298
2024-03-03 17:51:00,10344,-15845
2024-03-03 17:51:15,8804,-15371
2024-03-03 17:51:30,10383,-15872
2024-03-03 17:51:45,8995,-15597
2024-03-03 17:52:00,523922,-533716
2024-03-03 17:52:15,1868073,-4802307
2024-03-03 17:52:30,2905640,-8090404
2024-03-03 17:52:45,2903846,-8089433
2024-03-03 17:53:00,1943650,-6149352
2024-03-03 17:53:15,607585,-1915316
2024-03-03 17:53:30,10250,-15831
2024-03-03 17:53:45,8753,-15513
2024-03-03 17:54:00,10320,-16190
2024-03-03 17:54:15,8796,-15775
2024-03-03 17:54:30,10306,-16124
2024-03-03 17:54:45,8770,-15452
2024-03-03 17:55:00,10384,-15819
2024-03-03 17:55:15,1541544,-4185851
2024-03-03 17:55:30,3197754,-9480101
2024-03-03 17:55:45,3437422,-10251673
2024-03-03 17:56:00,3012133,-9617490
2024-03-03 17:56:15,1362001,-4342449
2024-03-03 17:56:30,11193,-16310
2024-03-03 17:56:45,9489,-15863
2024-03-03 17:57:00,10920,-16343
2024-03-03 17:57:15,9403,-15894
2024-03-03 17:57:30,21679,-16967
2024-03-03 17:57:45,23384,-16558
2024-03-03 17:58:00,36650,-18077
2024-03-03 17:58:15,966657,-2457281
2024-03-03 17:58:30,2722153,-8119930
2024-03-03 17:58:45,3610710,-10998219
2024-03-03 17:59:00,3607088,-10993880
2024-03-03 17:59:15,2092164,-6682565
2024-03-03 17:59:30,327614,-980085
2024-03-03 17:59:45,24195,-16124
2024-03-03 18:00:00,28658,-16670
2024-03-03 18:00:15,24140,-16145
2024-03-03 18:00:30,28707,-16645
2024-03-03 18:00:45,24255,-16181
2024-03-03 18:01:00,28715,-16725
2024-03-03 18:01:15,314890,-587801
2024-03-03 18:01:30,2107832,-6394994
2024-03-03 18:01:45,3660986,-11450523
2024-03-03 18:02:00,3665082,-11449475
2024-03-03 18:02:15,2774010,-8942948
2024-03-03 18:02:30,986041,-3124895
2024-03-03 18:02:45,24106,-16319
2024-03-03 18:03:00,28564,-16712
2024-03-03 18:03:15,24169,-16141
2024-03-03 18:03:30,28632,-16639
2024-03-03 18:03:45,24195,-16141
2024-03-03 18:04:00,28504,-16588
2024-03-03 18:04:15,24066,-16125
2024-03-03 18:04:30,1447185,-4223579
2024-03-03 18:04:45,3228718,-10040838
2024-03-03 18:05:00,3655826,-11417960
2024-03-03 18:05:15,3430408,-11113539
2024-03-03 18:05:30,1636633,-5254720
2024-03-03 18:05:45,24394,-16337
2024-03-03 18:06:00,28838,-16813
2024-03-03 18:06:15,24354,-16317
